,rate_function,cpu_usage_node,ram_usage_node,ram_usage_node_percentage,power_usage_node,overloaded_node,node_type
545,10.0,93.87233333333330,4202377216.0,17.189,271841.7916666670,0,0
546,10.0,93.717,4171478869.3333300,17.07611111111110,275369.5,0,0
547,10.0,109.68122222222200,4198154752.0,17.184,393399.11111111100,0,0
548,10.0,106.233,4198979584.0,17.145,372422.125,0,0
549,10.0,107.983,4184812600.888890,17.107333333333300,386271.625,0,0
550,10.0,131.86800000000000,4097325909.3333300,16.736,612505.125,0,0
551,10.0,132.217,4103219484.4444400,16.758666666666700,616913.5,0,0
552,10.0,178.733,4146077184.0,16.923666666666700,843025.375,0,0
553,10.0,179.60911111111100,4149324800.0,16.935888888888900,849913.5,0,0
554,10.0,208.552,4224134656.0,17.229,1072120.25,0,0
555,10.0,208.40833333333300,4226503452.4444400,17.237555555555600,1057806.8194444400,0,0
556,10.0,211.4,4221870421.3333300,17.218666666666700,1096573.75,0,0
557,10.0,246.15,4201921934.222220,17.13388888888890,1232033.875,0,0
558,10.0,249.6,4197208576.0,17.114,1312452.7916666700,0,0
559,10.0,305.867,4292453888.0,17.453,1673434.75,0,0
16453,170.0,146.68722222222200,4719775232.0,26.454,970186.8611111110,0,1
16454,170.0,145.3,4716571648.0,26.435,1035215.75,0,1
16455,170.0,144.25533333333300,4716708522.666670,26.435666666666700,1013529.125,0,1
16456,170.0,169.483,4697642496.0,26.321,963852.25,0,1
16457,170.0,168.167,4698557155.555560,26.327222222222200,1005741.3333333300,0,1
16458,170.0,166.537,4697068202.666670,26.31866666666670,955836.402777778,0,1
16459,170.0,151.183,4752997376.0,26.652,1094364.375,0,1
16460,170.0,151.667,4751119360.0,26.642,1069144.0833333300,0,1
16461,170.0,150.35566666666700,4753303950.222220,26.655666666666700,873691.125,0,1
16462,170.0,149.817,4750013098.666670,26.636,884945.0972222220,0,1
16463,170.0,149.0518888888890,4751133184.0,26.643,851976.5,0,1
16464,170.0,172.45033333333300,4747787264.0,26.623666666666700,1083339.125,0,1
16465,170.0,171.467,4747687936.0,26.623,1081903.25,0,1
16466,170.0,170.99477777777800,4746326528.0,26.615,1082863.75,0,1
16467,170.0,157.78333333333300,4756833792.0,26.677333333333300,872673.5,0,1
16468,170.0,159.35,4759692629.333330,26.694111111111100,903744.1111111110,0,1
16469,170.0,154.4721111111110,4736235690.666670,26.554666666666700,1121660.0,0,1
16470,170.0,153.68333333333300,4736100864.0,26.554,1116293.625,0,1
16471,170.0,153.9,4735026744.888890,26.54755555555560,1122558.4722222200,0,1
16472,170.0,165.73333333333300,4739146240.0,26.573,1156445.4166666700,0,1
16473,170.0,166.683,4739428067.555560,26.57455555555560,1182437.0,0,1
16474,170.0,167.13333333333300,4742573568.0,26.593,1197251.625,0,1
16475,170.0,166.433,4742822400.0,26.595,1197383.375,0,1
16476,170.0,166.11111111111100,4741872753.777780,26.589,1201208.2916666700,0,1
16477,180.0,126.95,4515826074.864200,26.461,677807.7638888890,0,1
16478,180.0,131.52658024691400,4515826074.864200,26.495,653617.6990740740,0,1
16479,180.0,131.86111111111100,4515826074.864200,26.311,613622.375,0,1
16480,180.0,139.517,4720159061.333330,26.425666666666700,761351.25,0,1
16481,180.0,139.48366666666700,4718187008.0,26.411,762278.25,0,1
16482,180.0,137.41366666666700,4737943552.0,26.491555555555600,787860.0,0,1
16483,180.0,136.95,4745503232.0,26.536666666666700,788225.2638888890,0,1
64039,150.0,109.36666666666700,3820634794.6666700,42.980111111111100,347901.3333333330,0,2
64040,150.0,139.10388888888900,4056617824.711110,45.88444444444450,581690.988888889,0,2
64041,150.0,141.32466666666700,4067863756.8,46.024,608218.1,0,2
64042,150.0,139.187,4064652902.4,45.985,609801.5666666670,0,2
64043,150.0,164.029,4158714733.714,47.143,745117.929,0,2
64044,150.0,163.532,4157942290.963,47.11822222222220,737088.4236666670,0,2
64045,150.0,165.943,4178988064.508,47.346666666666700,751595.6750000000,0,2
64046,160.0,108.40366666666700,3696143473.777780,41.007,347567.5,0,2
64047,160.0,108.011,3680422912.0,40.802,333969.0,0,2
64048,160.0,108.1,3689490432.0,40.942,345634.125,0,2
64049,160.0,146.41166666666700,3972487987.2,44.44466666666670,579829.3333333330,0,2
64050,160.0,146.373,3978067148.8,44.509,607717.6111111110,0,2
64051,160.0,144.92,3986072917.3333300,44.62188888888890,594465.7,0,2
64052,160.0,154.121,4138277692.9523300,46.74266666666670,708481.8624444440,1,2
64053,160.0,155.181,4168595537.269780,47.19188888888890,712785.429,1,2
64054,170.0,110.17233333333300,3763251029.3333300,42.52166666666670,398848.9305555560,0,2
64055,170.0,110.667,3748072049.777780,42.34088888888890,406971.125,0,2
64056,170.0,148.27688888888900,4002734080.0,45.471,566863.511111111,0,2
64057,170.0,147.733,3991901388.8,45.34,570516.9,0,2
64058,170.0,160.09655555555600,4111415588.571,46.859,800358.286,1,2
64059,170.0,159.81,4101871420.9523300,46.74033333333330,791098.9207777780,1,2
64060,170.0,159.524,4134617705.650780,47.153777777777800,796949.5,1,2
64061,180.0,123.50955555555600,3767524352.0,42.661,433040.0416666670,0,2
64062,180.0,126.617,3770685269.3333300,42.67255555555560,463803.0,0,2
64063,180.0,123.817,3765887943.111110,42.618,458594.25,0,2
64064,180.0,144.34933333333300,3977733461.3333300,45.28311111111110,514427.32222222200,0,2
64065,180.0,144.133,3992999526.4,45.48733333333330,508130.5,0,2
64066,180.0,142.782,3984510156.8,45.336,499263.8,0,2
64067,190.0,118.017,3781767680.0,42.898,448504.3333333330,0,2
64068,190.0,119.417,3767361536.0,42.725,454393.25,0,2
64069,190.0,119.645,3766095018.6666700,42.708,462378.11111111100,0,2
64070,190.0,150.971,4166589781.333,47.643,601274.917,1,2
64071,190.0,148.65033333333300,4158901771.3776700,47.15977777777780,594026.6056666670,1,2
64072,190.0,150.167,4202917493.5702200,47.71533333333330,612106.3408888890,1,2
64073,200.0,115.857,3667089408.0,42.322,396870.25,0,2
64074,200.0,156.5972222222220,4204696310.5183300,49.13477777777780,642734.3333333330,1,2
64075,200.0,157.711,4207425877.333,49.206,654873.0834444450,1,2
64076,200.0,157.789,4219938816.0,49.311,646006.25,1,2
64077,0.0,83.20533333333330,3662753052.4444400,42.46055555555560,257495.58333333300,0,2
64078,0.0,83.2,3659788800.0,42.421,261492.81944444400,0,2
64079,0.0,117.44633333333300,3664521728.0,42.487,426557.8055555560,0,2
64080,0.0,142.293,3891324108.8,45.194,633006.3,0,2
64081,0.0,162.303,4034627486.4763300,47.045222222222200,806576.9758888890,1,2
64082,0.0,161.81,4036859318.857,47.074,807718.357,1,2
64083,10.0,88.1,3697546012.4444400,42.92677777777780,257305.9861111110,0,2
64084,10.0,87.15388888888890,3690838528.0,42.84,239746.25,0,2
64085,10.0,87.792,3684923904.0,42.771,224926.0,0,2
64086,10.0,123.88333333333300,3706831701.3333300,43.04288888888890,460037.36111111100,0,2